facet,index,group,relevance_mean,clarity_mean,runner_up_index,runner_up_relevance_mean,runner_up_clarity_mean,decision_rule,wording_source,final_wording,question,edited_question
F1,F1Q3,group1,3.67,3.81,F1Q2,3.52,3.9,Selected by higher relevance mean,Question,"Sometimes people adjust what they say because they want others to like them or think well of them. In general, when someone close to you asks for your honest opinion but you suspect being fully honest might make you less likable or less accepted, how do you usually respond? Do you tend to be straightforward, or adjust your words to keep harmony? If it helps, you can share an example that shows what’s most typical for you.","Sometimes people adjust what they say because they want others to like them or think well of them. In general, when someone close to you asks for your honest opinion but you suspect being fully honest might make you less likable or less accepted, how do you usually respond? Do you tend to be straightforward, or adjust your words to keep harmony? If it helps, you can share an example that shows what’s most typical for you.",
F2,F2Q2,group1,3.52,3.71,F2Q1,3.33,3.67,Selected by higher relevance mean,Question,"There are situations where people can gain an advantage—like a reward, a better grade, or praise—by bending or breaking rules, especially when the risk of getting caught is low. In general, if you face that kind of situation, how do you usually decide what to do? Do you tend to follow the rules, or sometimes consider breaking them? What usually influences your decision? If it helps, you can share an example that reflects what’s most typical for you.","There are situations where people can gain an advantage—like a reward, a better grade, or praise—by bending or breaking rules, especially when the risk of getting caught is low. In general, if you face that kind of situation, how do you usually decide what to do? Do you tend to follow the rules, or sometimes consider breaking them? What usually influences your decision? If it helps, you can share an example that reflects what’s most typical for you.",
F3,F3Q1,group2,3.15,3.25,F3Q2,3.15,3.15,Relevance tie; selected by higher clarity mean,Edited Question,"Sometimes people consider buying something expensive, like luxury clothing, new electronics, or a special experience, even if they don’t really need it. When you face that kind of choice, what usually goes through your mind, and what do you usually decide?
If it helps, you can share an example that shows what’s most typical for you.","Sometimes people consider buying something expensive—like luxury clothing, new electronics, or a special experience—even if they don’t really need it. In general, if you face that kind of choice, what usually goes through your mind, and what do you usually decide? How does your decision typically reflect what is most important to you?
If it helps, you can share an example that shows what’s most typical for you.","Sometimes people consider buying something expensive, like luxury clothing, new electronics, or a special experience, even if they don’t really need it. When you face that kind of choice, what usually goes through your mind, and what do you usually decide?
If it helps, you can share an example that shows what’s most typical for you."
F4,F4Q3,group2,3.3,3.5,F4Q1,3.15,3.45,Selected by higher relevance mean,Edited Question,"In settings like school, work, or team projects, people often contribute at different levels. For instance, you might work especially hard and contribute more than most people in the group. In general, if you feel you clearly outperformed others around you, what are your usual thoughts and feelings in that situation? How do you usually respond if others don’t notice your contribution? Does it typically influence how you see yourself or how you behave afterward?
If it helps, you can share an example that reflects what’s most typical for you.","In settings like school, work, or team projects, people often contribute at different levels. In general, if you feel you clearly outperformed others around you, what are your usual thoughts and feelings in that situation? How do you usually respond if others don’t notice your contribution? Does it typically influence how you see yourself or how you behave afterward?
If it helps, you can share an example that reflects what’s most typical for you.","In settings like school, work, or team projects, people often contribute at different levels. For instance, you might work especially hard and contribute more than most people in the group. In general, if you feel you clearly outperformed others around you, what are your usual thoughts and feelings in that situation? How do you usually respond if others don’t notice your contribution? Does it typically influence how you see yourself or how you behave afterward?
If it helps, you can share an example that reflects what’s most typical for you."
F5,F5Q1,group1,3.67,3.86,F5Q2,3.57,3.81,Selected by higher relevance mean,Question,"Sometimes we need to go somewhere despite unsafe or risky conditions—like driving through a snowstorm, walking alone at night, or traveling during a weather alert. In general, if you face that kind of situation, how much fear do you usually feel, and how does it usually affect what you decide to do? If it helps, you can share an example that shows what’s most typical for you.","Sometimes we need to go somewhere despite unsafe or risky conditions—like driving through a snowstorm, walking alone at night, or traveling during a weather alert. In general, if you face that kind of situation, how much fear do you usually feel, and how does it usually affect what you decide to do? If it helps, you can share an example that shows what’s most typical for you.",
F6,F6Q1,group1,3.76,3.71,F6Q3,3.52,3.81,Selected by higher relevance mean,Edited Question,"Waiting to hear back about something important—like an application, a decision, or news—can make some people anxious. In general, if you are waiting for an outcome and aren’t sure what will happen, what thoughts and feelings do you usually have, and how does it affect what you do? If it helps, you can share an example that shows what’s most typical for you.","Waiting to hear back about something important—like an application, a decision, or news—can make some people anxious, while others stay calm. In general, if you are waiting for an outcome and aren’t sure what will happen, what thoughts and feelings do you usually experience, and how does it usually affect your behavior? If it helps, you can share an example that shows what’s most typical for you.","Waiting to hear back about something important—like an application, a decision, or news—can make some people anxious. In general, if you are waiting for an outcome and aren’t sure what will happen, what thoughts and feelings do you usually have, and how does it affect what you do? If it helps, you can share an example that shows what’s most typical for you."
F7,F7Q2,group2,3.6,3.65,F7Q1,3.5,3.4,Selected by higher relevance mean,Question,"Sometimes when people feel anxious or worried, they immediately talk to someone they trust, while others keep it to themselves. If you are feeling anxious or worried, how do you usually respond—do you tend to share it or keep it private? How does that choice usually affect how you feel afterward?
Could you share an example that reflects your typical response.","Sometimes when people feel anxious or worried, they immediately talk to someone they trust, while others keep it to themselves. If you are feeling anxious or worried, how do you usually respond—do you tend to share it or keep it private? How does that choice usually affect how you feel afterward?
Could you share an example that reflects your typical response.",
F8,F8Q3,group2,3.55,3.37,F8Q2,3.44,3.47,Selected by higher relevance mean,Edited Question,"Events like weddings, reunions, or even reflecting on old photos can bring up strong feelings for some people, while others stay more neutral. If you are in a symbolic or nostalgic moment with people you care about, how do you usually feel—do you become strongly moved, or stay more neutral? How does it typically affect your sense of closeness or attachment to others? You can share an example that shows how you usually react in those situations.","Events like weddings, reunions, or even reflecting on old photos can bring up strong feelings for some people, while others stay more neutral. If you are in a symbolic or nostalgic moment with people you care about, how do you usually feel—do you become strongly moved, or stay more neutral? How does it typically affect your sense of closeness or attachment to others?
If you’d like, you can give an example that shows how you usually react in those situations.","Events like weddings, reunions, or even reflecting on old photos can bring up strong feelings for some people, while others stay more neutral. If you are in a symbolic or nostalgic moment with people you care about, how do you usually feel—do you become strongly moved, or stay more neutral? How does it typically affect your sense of closeness or attachment to others? You can share an example that shows how you usually react in those situations."
F9,F9Q2,group1,3.71,3.67,F9Q1,3.67,3.62,Selected by higher relevance mean,Edited Question,"After social events—like a conversation, party, or class discussion—some people reflect on how they came across, while others don’t think much about it. When you’ve just been in a group interaction, how often do you think about how you came across to others? How does that usually make you feel about yourself, and does it affect what you say or do afterward? You can share an example that shows how you usually respond.","After social events—like a conversation, party, or class discussion—some people reflect on how they came across, while others don’t think much about it. After a group interaction, how often do you usually reflect on how you came across to others? When you do, how does it typically affect how you feel about yourself, and does it influence what you say or do afterward?
Could you give an example that shows how you usually respond?","After social events—like a conversation, party, or class discussion—some people reflect on how they came across, while others don’t think much about it. When you’ve just been in a group interaction, how often do you think about how you came across to others? How does that usually make you feel about yourself, and does it affect what you say or do afterward? You can share an example that shows how you usually respond."
F10,F10Q1,group1,3.81,3.95,F10Q2,3.67,3.86,Selected by higher relevance mean,Question,"When meeting someone new—at work, events, or in public—some people start conversations easily, while others feel hesitant. In general, when you meet someone new, how do you usually approach the situation—do you introduce yourself and join in easily, or do you feel more hesitant? How comfortable or nervous do you typically feel, and how does that affect what you do?
If you’d like, you can share an example that reflects your usual approach.","When meeting someone new—at work, events, or in public—some people start conversations easily, while others feel hesitant. In general, when you meet someone new, how do you usually approach the situation—do you introduce yourself and join in easily, or do you feel more hesitant? How comfortable or nervous do you typically feel, and how does that affect what you do?
If you’d like, you can share an example that reflects your usual approach.",
F11,F11Q1,group2,3.5,3.35,F11Q2,3.45,3.4,Selected by higher relevance mean,Question,"People differ in how much they enjoy casual conversation in everyday situations—like waiting in line, sitting next to someone, or meeting new people. In general, what do you usually do in those situations—do you strike up small talk or prefer to keep to yourself? How do you usually feel about it?
If you’d like, you can share an example that reflects what feels most natural for you.","People differ in how much they enjoy casual conversation in everyday situations—like waiting in line, sitting next to someone, or meeting new people. In general, what do you usually do in those situations—do you strike up small talk or prefer to keep to yourself? How do you usually feel about it?
If you’d like, you can share an example that reflects what feels most natural for you.",
F12,F12Q1,group2,3.4,3.6,F12Q2,3.4,3.55,Relevance tie; selected by higher clarity mean,Question,"People vary in how much energy and enthusiasm they bring to daily life. Some tend to feel upbeat and energized, while others are more low-key or subdued most of the time. In general, thinking about your usual routines—whether at work, school, or in daily life—how would you describe your typical mood and energy level?
If you’d like, you can share an example that illustrates what feels most typical for you.","People vary in how much energy and enthusiasm they bring to daily life. Some tend to feel upbeat and energized, while others are more low-key or subdued most of the time. In general, thinking about your usual routines—whether at work, school, or in daily life—how would you describe your typical mood and energy level?
If you’d like, you can share an example that illustrates what feels most typical for you.",
F13,F13Q1,group1,3.86,3.9,F13Q2,3.81,3.81,Selected by higher relevance mean,Question,"Sometimes people hurt or disappoint us—like a friend letting us down, a colleague taking credit, or someone speaking behind our back. In general, when someone hurts or disappoints you like this, how do you usually respond? Are you more likely to forgive the person and rebuild the relationship, or to hold on to the hurt? What usually influences your decision?
If you’d like, you can share an example that reflects what’s most typical for you.","Sometimes people hurt or disappoint us—like a friend letting us down, a colleague taking credit, or someone speaking behind our back. In general, when someone hurts or disappoints you like this, how do you usually respond? Are you more likely to forgive the person and rebuild the relationship, or to hold on to the hurt? What usually influences your decision?
If you’d like, you can share an example that reflects what’s most typical for you.",
F14,F14Q1,group1,3.62,3.62,F14Q2,3.43,3.67,Selected by higher relevance mean,Question,"In everyday interactions, people sometimes make mistakes or fall short. In general, when you notice this, how do you usually react—do you tend to be more critical, or more understanding? What do you typically do in response?
If you’d like, you can share an example that shows what feels most typical for you.","In everyday interactions, people sometimes make mistakes or fall short. In general, when you notice this, how do you usually react—do you tend to be more critical, or more understanding? What do you typically do in response?
If you’d like, you can share an example that shows what feels most typical for you.",
F15,F15Q3,group2,3.55,3.65,F15Q1,3.35,3.4,Selected by higher relevance mean,Question,"In group decisions—like making plans or agreeing on how to do something—people sometimes have strong preferences for their own way of doing things. In general, when your preference is different from others’, how do you usually respond—do you hold firm to your way, or are you more willing to go along with the group?
You might describe a situation that reflects how you usually handle this.","In group decisions—like making plans or agreeing on how to do something—people sometimes have strong preferences for their own way of doing things. In general, when your preference is different from others’, how do you usually respond—do you hold firm to your way, or are you more willing to go along with the group?
You might describe a situation that reflects how you usually handle this.",
F16,F16Q1,group2,3.5,3.65,F16Q3,3.5,3.6,Relevance tie; selected by higher clarity mean,Edited Question,"In daily life, we often face delays or situations that don’t go as planned—like waiting in a long line, a late appointment, or traffic jams. When this happens to you, what usually goes through your mind, how do you feel, and how do you tend to respond—do you stay calm or react in some way? Can you share an example that shows what feels most typical for you?","In daily life, we often face delays or situations that don’t go as planned—like waiting in a long line, a late appointment, or traffic jams. In general, when this happens, what usually goes through your mind, how do you feel, and how do you tend to respond—do you stay calm or react in some way?
Can you share an example that shows what feels most typical for you?","In daily life, we often face delays or situations that don’t go as planned—like waiting in a long line, a late appointment, or traffic jams. When this happens to you, what usually goes through your mind, how do you feel, and how do you tend to respond—do you stay calm or react in some way? Can you share an example that shows what feels most typical for you?"
F17,F17Q1,group1,3.57,3.71,F17Q2,3.57,3.67,Relevance tie; selected by higher clarity mean,Edited Question,"Some people like to return things to their proper place right after using them, while others naturally leave things out and tidy up later. And some people might feel comfortable with a bit of clutter or even see it as part of their style. In general, during a normal day or week, how do you usually keep track of and maintain order with your things—like notebooks, clothes, bags, or supplies? How do you feel when items are left out of place for a while? Can you share what feels most typical for you?","Some people like to return things to their proper place right after using them, while others leave things out and organize later. In general, during a normal day or week, do you usually put your things away right after using them—like notebooks, clothes, bags, or supplies—or organize them later? How do you usually feel when things are not where they belong?
Can you share what feels most typical for you?","Some people like to return things to their proper place right after using them, while others naturally leave things out and tidy up later. And some people might feel comfortable with a bit of clutter or even see it as part of their style. In general, during a normal day or week, how do you usually keep track of and maintain order with your things—like notebooks, clothes, bags, or supplies? How do you feel when items are left out of place for a while? Can you share what feels most typical for you?"
