facet,index,rank_within_facet,selected,selected_index_for_facet,group,relevance_mean,clarity_mean,decision_rule,wording_source,final_wording,question,edited_question,feedback,excel_row,clarity_response_count,relevance_response_count,clarity_std,relevance_std,clarity_ci,relevance_ci,clarity_median,relevance_median,clarity_rwg,relevance_rwg
F1,F1Q3,1,yes,F1Q3,group1,3.67,3.81,Selected by higher relevance mean,Question,"Sometimes people adjust what they say because they want others to like them or think well of them. In general, when someone close to you asks for your honest opinion but you suspect being fully honest might make you less likable or less accepted, how do you usually respond? Do you tend to be straightforward, or adjust your words to keep harmony? If it helps, you can share an example that shows what’s most typical for you.","Sometimes people adjust what they say because they want others to like them or think well of them. In general, when someone close to you asks for your honest opinion but you suspect being fully honest might make you less likable or less accepted, how do you usually respond? Do you tend to be straightforward, or adjust your words to keep harmony? If it helps, you can share an example that shows what’s most typical for you.",,"- this questioned seems off. It took me a couple of rereads to fully understand
 - Very straightforward, and not having them choose to portray themselves negatively.
 - My comment for the overall topic, not this specific question, is that it can be difficult in a self-survey for someone to maybe admit to themselves that they aren't sincere or that they are manipulative. People could lie on this one to preserve their subconscious.
 - I think the question is relevant to being sincere.",4,21.0,21.0,0.39,0.47,"(3.64, 3.98)","(3.47, 3.87)",4.0,4.0,0.88,0.82
F1,F1Q2,2,no,F1Q3,group1,3.52,3.9,,Edited Question,"People sometimes act more friendly or flattering than they truly feel in order to gain something, like support, approval, or a favor. In general, what do you usually do if you need a favor or support from someone? Do you tend to act nicer than you feel, or do you usually express your true thoughts even if it might not please the other person? What thoughts or feelings typically guide your choice? If it helps, you can share an example that shows what’s most typical for you.","People sometimes act more friendly or flattering than they truly feel in order to gain something—like support, approval, or a favor. In general, what do you usually do if you need a favor or support from someone? Do you tend to act nicer than you feel, or do you usually stay fully authentic? What thoughts or feelings typically guide your choice? If it helps, you can share an example that shows what’s most typical for you.","People sometimes act more friendly or flattering than they truly feel in order to gain something, like support, approval, or a favor. In general, what do you usually do if you need a favor or support from someone? Do you tend to act nicer than you feel, or do you usually express your true thoughts even if it might not please the other person? What thoughts or feelings typically guide your choice? If it helps, you can share an example that shows what’s most typical for you.","- I think this will elicit more info than the 1st one because it can show them as more sincere instead of ""using"" someone.
 - I don't think the question is relevant to sincerity. 
 - I think defining “authentic” with an example might elicit a better response.",3,21.0,21.0,0.29,0.79,"(3.78, 4.03)","(3.18, 3.86)",4.0,4.0,0.93,0.5
F2,F2Q2,1,yes,F2Q2,group1,3.52,3.71,Selected by higher relevance mean,Question,"There are situations where people can gain an advantage—like a reward, a better grade, or praise—by bending or breaking rules, especially when the risk of getting caught is low. In general, if you face that kind of situation, how do you usually decide what to do? Do you tend to follow the rules, or sometimes consider breaking them? What usually influences your decision? If it helps, you can share an example that reflects what’s most typical for you.","There are situations where people can gain an advantage—like a reward, a better grade, or praise—by bending or breaking rules, especially when the risk of getting caught is low. In general, if you face that kind of situation, how do you usually decide what to do? Do you tend to follow the rules, or sometimes consider breaking them? What usually influences your decision? If it helps, you can share an example that reflects what’s most typical for you.",,"- This question sounds like its asking about honesty rather than fairness.
 - What influences your decision?  Good to elicit info.",6,21.0,21.0,0.7,0.79,"(3.41, 4.01)","(3.18, 3.86)",4.0,4.0,0.61,0.5
F2,F2Q1,2,no,F2Q2,group1,3.33,3.67,,Edited Question,"Sometimes, people receive something that wasn’t meant for them, like a mistaken refund or getting access to something without paying. In general, if you are in that kind of situation, do you usually keep it or return it? What thoughts or feelings usually guide your choice? If it helps, you can share an example that shows what’s most typical for you.","Sometimes, people receive something they didn’t earn—like a mistaken refund or getting access to something without paying. In general, if you are in that kind of situation, do you usually keep it or return it? What thoughts or feelings usually guide your choice? If it helps, you can share an example that shows what’s most typical for you.","Sometimes, people receive something that wasn’t meant for them, like a mistaken refund or getting access to something without paying. In general, if you are in that kind of situation, do you usually keep it or return it? What thoughts or feelings usually guide your choice? If it helps, you can share an example that shows what’s most typical for you.","- This question sounds like its asking about honesty rather than fairness.
 - Instead of putting “something they didn’t earn”, I would say “something that wasn’t meant for them”.
 - What guides your choice will elicit info.
 - I don't know that this is about fraud and corruption, maybe it is a little bit.",5,21.0,21.0,0.56,0.78,"(3.43, 3.91)","(3.00, 3.67)",4.0,4.0,0.75,0.52
F3,F3Q1,1,yes,F3Q1,group2,3.15,3.25,Relevance tie; selected by higher clarity mean,Edited Question,"Sometimes people consider buying something expensive, like luxury clothing, new electronics, or a special experience, even if they don’t really need it. When you face that kind of choice, what usually goes through your mind, and what do you usually decide?
If it helps, you can share an example that shows what’s most typical for you.","Sometimes people consider buying something expensive—like luxury clothing, new electronics, or a special experience—even if they don’t really need it. In general, if you face that kind of choice, what usually goes through your mind, and what do you usually decide? How does your decision typically reflect what is most important to you?
If it helps, you can share an example that shows what’s most typical for you.","Sometimes people consider buying something expensive, like luxury clothing, new electronics, or a special experience, even if they don’t really need it. When you face that kind of choice, what usually goes through your mind, and what do you usually decide?
If it helps, you can share an example that shows what’s most typical for you.","- The variety of questions throughout the prompt will provide a variety of responses. The only thing that might decrease the responses is the ""If it helps"" part. People may not be likely to respond to that optional part. Also the ""even if they don’t really need it."" as well as ""How does your decision typically reflect what is most important to you?"" might make people change their answers to reflect more of an ideal version of themselves rather than the truth.
 - Overall, this question has too many parts. 
 - It is clear on how they want to know how we treat ourself but I don't understand how it relates to greed avoidance.
 - Again, I feel the question is fine, but the response may vary. Solely based off what a person may want to be perceived as. 
 - I would think receiving this question in an interview would signal to me they don't help or assist their employees in financial hardship. 
 - the question does seem pretty long but i like that it says i could provide my own example to the question.",7,20.0,20.0,0.94,0.91,"(2.84, 3.66)","(2.75, 3.55)",4.0,3.5,0.29,0.34
F3,F3Q2,2,no,F3Q1,group2,3.15,3.15,,Question,"Sometimes we find ourselves in settings where others show signs of wealth or high status—through what they wear, drive, or talk about. In general, if you are in that kind of environment, how do you usually feel, and does it influence what you think is important or the goals you want to pursue?
If it helps, you can share an example that shows what’s most typical for you.","Sometimes we find ourselves in settings where others show signs of wealth or high status—through what they wear, drive, or talk about. In general, if you are in that kind of environment, how do you usually feel, and does it influence what you think is important or the goals you want to pursue?
If it helps, you can share an example that shows what’s most typical for you.",,"- I'm unsure if this comes across to anyone reading what information you are trying to evoke.
 - Clarify ""goals you want to pursue""
 - It is not clear on how these relate to greed, but rather having different priorities.",8,20.0,20.0,0.73,0.65,"(2.83, 3.47)","(2.86, 3.44)",3.0,3.0,0.58,0.66
F4,F4Q3,1,yes,F4Q3,group2,3.3,3.5,Selected by higher relevance mean,Edited Question,"In settings like school, work, or team projects, people often contribute at different levels. For instance, you might work especially hard and contribute more than most people in the group. In general, if you feel you clearly outperformed others around you, what are your usual thoughts and feelings in that situation? How do you usually respond if others don’t notice your contribution? Does it typically influence how you see yourself or how you behave afterward?
If it helps, you can share an example that reflects what’s most typical for you.","In settings like school, work, or team projects, people often contribute at different levels. In general, if you feel you clearly outperformed others around you, what are your usual thoughts and feelings in that situation? How do you usually respond if others don’t notice your contribution? Does it typically influence how you see yourself or how you behave afterward?
If it helps, you can share an example that reflects what’s most typical for you.","In settings like school, work, or team projects, people often contribute at different levels. For instance, you might work especially hard and contribute more than most people in the group. In general, if you feel you clearly outperformed others around you, what are your usual thoughts and feelings in that situation? How do you usually respond if others don’t notice your contribution? Does it typically influence how you see yourself or how you behave afterward?
If it helps, you can share an example that reflects what’s most typical for you.",- I feel for this question there should be an example included or a scenario for the student to imagine the situation they are in and to determine how they would feel in that certain situation. As it will allow the reader to gain a better insight into how they would react in that situation and develop more thoughts and response to this question.,10,20.0,20.0,0.59,0.78,"(3.24, 3.76)","(2.96, 3.64)",4.0,3.0,0.72,0.51
F4,F4Q1,2,no,F4Q3,group2,3.15,3.45,,Edited Question,"Sometimes, people are given special privileges—like skipping a line, receiving VIP treatment, or being treated differently because of their status, title, or accomplishments. In general, if you are offered or expected to receive that kind of special treatment, how do you usually feel and respond?
If it helps, you can share an example that shows what’s most typical for you.","Sometimes, people are given special privileges—like skipping a line, receiving VIP treatment, or being treated differently because of their status, title, or accomplishments. In general, if you are offered or expected to receive that kind of special treatment, how do you usually respond? How do you usually feel about it, and what do you usually do?
If it helps, you can share an example that shows what’s most typical for you.","Sometimes, people are given special privileges—like skipping a line, receiving VIP treatment, or being treated differently because of their status, title, or accomplishments. In general, if you are offered or expected to receive that kind of special treatment, how do you usually feel and respond?
If it helps, you can share an example that shows what’s most typical for you.","- While reading the prompt I could understand the situation clearly and understand the direction it had to tie to the topic of modesty. However, the last two questions were a bit confusing to me as it felt like it was repeating the same questions in just two different forms to receive the same answer from us the students. 
 - Again the ""If it helps"" statement can limit the amount of in-depth responses you receive. (I also want to note in the Example Items section above, I think you have a typing error with the numbers if that is something that needs to be fixed.)",9,20.0,20.0,0.67,0.73,"(3.16, 3.74)","(2.83, 3.47)",4.0,3.0,0.64,0.58
F5,F5Q1,1,yes,F5Q1,group1,3.67,3.86,Selected by higher relevance mean,Question,"Sometimes we need to go somewhere despite unsafe or risky conditions—like driving through a snowstorm, walking alone at night, or traveling during a weather alert. In general, if you face that kind of situation, how much fear do you usually feel, and how does it usually affect what you decide to do? If it helps, you can share an example that shows what’s most typical for you.","Sometimes we need to go somewhere despite unsafe or risky conditions—like driving through a snowstorm, walking alone at night, or traveling during a weather alert. In general, if you face that kind of situation, how much fear do you usually feel, and how does it usually affect what you decide to do? If it helps, you can share an example that shows what’s most typical for you.",,"- questions seemed a bit off, but did convey the construct well enough",11,21.0,21.0,0.35,0.47,"(3.71, 4.01)","(3.47, 3.87)",4.0,4.0,0.9,0.82
F5,F5Q2,2,no,F5Q1,group1,3.57,3.81,,Edited Question,"Sometimes people are invited or encouraged to do things that carry a chance of getting hurt—like a challenging sport, a physically demanding task, or another activity that feels unsafe. In general, if you are invited or encouraged to do such things, how comfortable or uneasy do you usually feel, and how does that feeling typically affect what you choose to do? If it helps, you can share an example that reflects what’s most typical for you.","Sometimes people are invited or encouraged to do things that carry a chance of getting hurt—like a challenging sport, a physically demanding task, or another activity that feels unsafe. In general, if you are invited or encourageed to do such things, how fearful do you usually feel, and how does that fear typically affect what you choose to do? If it helps, you can share an example that reflects what’s most typical for you.","Sometimes people are invited or encouraged to do things that carry a chance of getting hurt—like a challenging sport, a physically demanding task, or another activity that feels unsafe. In general, if you are invited or encouraged to do such things, how comfortable or uneasy do you usually feel, and how does that feeling typically affect what you choose to do? If it helps, you can share an example that reflects what’s most typical for you.","- Rich questions.  Encouraged only has 1 e at the end, not 2 (""encourageed"")
 - I like the questions I just feel as though the use of the terms we’re looking for is a little too on the nose and could potentially cause some conflict within the subject and not be as truthful unintentionally",12,21.0,21.0,0.66,0.79,"(3.53, 4.09)","(3.23, 3.91)",4.0,4.0,0.65,0.5
